feature,importance
flow_duration,0.08896714035600672
throughput_per_duration,0.08337626420570406
packets_per_sec,0.08300101858453399
bytes_per_packet,0.08103371935946288
bytes_per_sec,0.07928996826678981
dst_port,0.07861143259311275
packet_len_min,0.07171609078211265
packet_len_range,0.06841605927705845
packet_len_mean,0.06769869753978601
port_gap,0.06676192542162479
packet_len_max,0.06623010900291577
packet_len_std,0.06570023337840186
src_port,0.049801813558307165
is_system_dst_port,0.029499342219975102
is_system_src_port,0.019896185454208064
